Modismo;Definición Sonar;Definiciones Reales;Acorde;;
orden;"Mandato o instrucción dada para que se realice una acción; también disposición o arreglo que garantiza que algo esté organizado.";Se usa para responder cortésmente las palabras de agradecimiento. | Orden judicial que autoriza un allanamiento policial.;0;;
trapeadora;Utensilio de aseo para limpiar pisos, compuesto por fibras absorbentes unidas a un mango.;Utensilio doméstico que consta de un mango largo y un manojo de tiras absorbentes en el extremo;1;;
procurador;Funcionario público o profesional del derecho encargado de velar por la legalidad y defender el interés público mediante vigilancia, control disciplinario y representación ante autoridades.;Funcionario de alto rango que se encarga de vigilar, investigar y sancionar a quienes trabajan al servicio del Estado.;1;;
corozo;Fruto de una palma espinosa típico de Colombia, globoso y amarillo, cuyo interior se consume tras abrir su tapón.;Fruto de esta palma redondo y color naranja. | Palma que mide hasta 40 m de altura, de tronco inclinado en la base y vertical hacia el ápice, hojas pinnadas, flores blancas y frutos de los que se puede obtener aceite.;1;;
tuntuniento;Persona apocada o lenta en movimientos y respuestas, con falta de energía o soltura en su comportamiento.;Referido a una persona, tonta o de poco entendimiento.;1;;
jurel;Persona diestra en ocultar errores o en quienes resulta difícil sorprender con una falta o descuido.;"Pez marino con escamas, cuerpo fusiforme, de color amarillento con reflejos verdes, aleta caudal muy bifurcada; muy apreciado en la alimentación.";0;;
rabón;Persona enojada, de mal genio o mal intencionada.;Referido a una persona, que es malintencionada o que es indolente en el trato con los demás. | Referido a una persona, furiosa, enojada. | molesto por algo;1;;
mazamorra de piste;Situación extremadamente confusa o desordenada.;la de maíz triturado y macerado durante dos o más días;0;;
iji;Interjección usada en Colombia para expresar negación enérgica.;expresa negación enérgica;1;;
balacera;Tiroteo entre dos o más personas con disparos de armas de fuego de pequeño y mediano calibre de origen no identificable y destino impreciso.;Situación en la que hay disparos repetidos que provienen de una o varias armas de fuego. | tiroteo;1;;
enyesar;Hacer que una persona pague casi la totalidad de una cuenta o la obliguen a pagar excesivamente por algo.;Estafar a alguien.;0;;
buitrón;En Colombia, buitrón es un conducto o chimenea de un horno o estufa por donde sale el humo.;Conducto por donde sale el humo de un horno o chimenea. | cenicero de los hornos de cocer el pan, calentados con leña | conducto por el que sale el humo de una chimenea o estufa;1;;
parapeto;Pieza arquitectónica o militar que actúa como muro bajo para protección o defensa, colocada en bordes de terrazas, puentes o frentes de batalla.;Engaño, simulación.;0;;
rambar;Cortar el cabello totalmente, rasurar o pelar la cabeza.;rapar;1;;
estrellado;Estado de confusión momentánea o aturdimiento, generalmente por un golpe físico, una sorpresa intensa o cansancio extremo.;Referido a una persona, equivocada, errada.;0;;
mazacotudo;Adjetivo coloquial que describe algo espeso, apelmazado o de consistencia pastosa y tosca.;Referido especialmente a una comida, que queda como una masa pegajosa.;1;;
biósfera;No es un modismo ni expresión idiomática colombiana.;Biosfera, zona terrestre en la que hay vida.;1;;
magíster;Título o grado universitario de posgrado inmediatamente inferior al de doctor, así como la persona que lo posee.;Maestría, estudios que se hacen después de terminar el programa profesional universitario y tienen una duración de dos años. | Título que se obtiene luego de estudiar una maestría.;1;;
arción;Arzón delantero de la silla de montar.;Correa de cuero que se cuelga de la silla de montar para sostener el estribo.;1;;
bogadera;Actividad o comportamiento exagerado y ostentoso que busca llamar la atención de manera ruidosa y desordenada.;Bebida fría que se prepara con agua de panela, canela y limón.;0;;
comer;Realizar la acción de ingerir alimentos para nutrirse o satisfacer el hambre.;tener relaciones sexuales con una persona | Tener relaciones sexuales. | Tomar la comida de la noche. | participar en un negocio ilícito;0;;
enmozado;Persona que vive en concubinato o mantiene una relación de pareja estable sin matrimonio.;Referido a una persona, que tiene una relación amorosa por fuera del matrimonio, o vive con una persona sin estar casado.;0;;
ataúd de las ánimas;Cofre humilde y toscamente fabricado, asociado a enterramientos pobres y vinculado a la devoción por las ánimas del purgatorio.;féretro de madera tosca, sin pulimento ni pintura, que se emplea en los pueblos para enterrar a los pobres de solemnidad;1;;
crem;Clase social alta en Colombia.;clase alta de la sociedad;1;;
sabroso;En Colombia, describe algo de excelente calidad o muy divertido y entretenido.;De forma agradable o satisfactoria. | Que es alegre, divertido y agradable.;1;;
bóxer;Pegamento fuerte empleado para todo tipo de uniones.;Pegamento fuerte, viscoso y de color amarillo. | Prenda interior, generalmente masculina, que va desde la cintura hasta un poco más abajo de las ingles.;1;;
guacaba;Término coloquial regional usado para describir a una persona torpe, desordenada o despistada en su comportamiento.;Variedad de lechuza de tamaño muy pequeño, de hábitos especialmente diurnos y de canto muy característico.;0;;
bombero;Persona que crea tensiones e indisposiciones entre otros con sus comentarios.;Referido a una persona, que incita a alguien a una acción generalmente peligrosa o riesgosa. | Referido a una persona, que critica y fastidia a alguien cuando comete un error. | empleado que trabaja en una bomba de gasolina;1;;
chillar;Emitir llanto o quejarse de modo evidente y prolongado ante una molestia o emoción.;Llorar. | Quejarse por algo. | protestar;1;;
entecado;Persona o animal de aspecto muy delgado y debilitado, con apariencia enfermiza o raquítica.;Referido a una persona o animal, que está delgado y le faltan fuerzas.;1;;
arrocera;Olla eléctrica diseñada específicamente para cocinar arroz de forma automática.;Olla eléctrica en la que se prepara el arroz.;1;;
tanto;Interjección coloquial usada para restar importancia a algo, expresar indiferencia o incredulidad ante una afirmación o situación.;No tanto como se supondría. | ¿cuánto?;1;;
cojosa;Leche fermentada tradicional en Colombia, consumida como bebida láctea agria.;Leche agria y espesa. | leche fermentada;1;;
masatico;Persona de gran tamaño o corpulencia que resulta pesada o torpe en sus movimientos.;Dulce elaborado a base de harina de maíz y panela que se envuelve en hojas de plátano y se le da forma rectangular.;0;;
casposo;Persona que habla más de la cuenta o presume mucho.;Referido a una persona, especialmente a un niño, necio, inquieto y travieso.;0;;
paramar;Tomar un descanso breve o detenerse momentáneamente durante una actividad.;Lloviznar suave y constante. | lloviznar;0;;
apretar;Tener relaciones íntimas o besar y abrazar apasionadamente a otra persona en lenguaje coloquial colombiano.;Ahorrar más de lo normal. | ahorrar en exceso;0;;
son;En Colombia, 'son' se utiliza informalmente para preguntar o confirmar si algo es verdad o corresponde, equivalente a pedir confirmación sobre una afirmación.;Baile propio de la región atlántica, de ritmo alegre, compás originario de la samba, que se danza en parejas. | Baile propio de la región atlántica, en el que los hombres se pintan el torso y la cara de negro para reafirmar el color, de movimentos fuertes y rápidos. | Música de ascendencia africana que mezcla el son cubano y la cumbia, y combina los tonos graves y antiguos de las percusiones y las voces de los obreros agrícolas de Palenque.;0;;
chontaduro;Hombre rudo, campesino o de baja condición social.;Fruto de esta palma, de colores rojo, amarillo y naranja, de pulpa amarillenta o naranja que se come cocinada con sal. | Palma de hasta 7 m de altura, con tallo cubierto de fuertes espinas, hojas pecioladas, flores en espigas y frutos comestibles en racimos.;0;;
cañaveral;Terreno o plantío extenso donde crecen muchas cañas, especialmente cultivo de caña de azúcar.;Sembradío de caña de azúcar.;1;;
pretil;En Colombia, acera o sendero peatonal al costado de una vía o calle.;Parte de una prenda de vestir que se ciñe a la cintura y que sirve para pasar la correa.;0;;
zuro;Cría de paloma todavía sin plumas, usada en Colombia para nombrar al pichón.;Ave doméstica de plumaje gris oscuro en cabeza y cuello, y claro en vientre y alas, ojos naranjas o rojos, pico negro y patas de color rosado oscuro. | Planta acuática de hojas flotantes y triangulares e inflorescencia en racimo, usada en ornamentación.;0;;
común;Persona vulgar o de mal gusto en vestimenta o comportamiento.;Ser corriente, idéntico a la mayoría de su misma especie.;0;;
raspador;Persona vulgar, grosera y malhablada.;Árbol hasta 20 m. de altura, corteza que se desprende, de hojas verdes simples alternas, de flores pequeñas verdes y amarillas, semillas redondas castaño oscuro, de uso industrial, medicinal y de alimento para los animales silvestres.;0;;
duda;Expresión paisa que denota incredulidad o cuestionamiento ante lo afirmado por otra persona.;Por si acaso, por precaución.;0;;
higuerón;Persona cobarde, miedosa o falta de arrojo.;Árbol de hasta 40 m de altura, de tronco grueso, hojas brillantes de nervios muy marcados, de fruto similar a la breva.;0;;
encabildado;Armadura de cabillas o varillas de acero para reforzar el concreto en construcciones.;Referido a una persona, que asume situaciones riesgosas.;0;;
tomba;Denominación coloquial utilizada en Colombia para identificar a una persona que ejerce funciones policiales, generalmente con carga informal o popular en el habla.;grupo de policías;1;;
sobrepoblado;Lleno de gente en exceso.;Referido a un lugar, poblado en abundancia.;1;;
cucarrón;Hombre heterosexual que mantiene relaciones sexuales con hombres homosexuales o homosexual que asume el rol activo en el sexo anal.;homosexual activo | escarabajo | Hombre homosexual. | Insecto del orden de los coleópteros, con dos juegos de alas, unas delanteras fuertes y duras, y otras traseras, membranosas y blandas.;1;;
tacada;Golpe dado con la boca o la maza del taco a la bola en el billar, o sucesión de carambolas conseguidas sin perder la jugada.;Gran cantidad.;0;;
desentejado;Adjetivo coloquial que describe a una persona que se está quedando calva.;dicho de una persona, medio calva;1;;
cuchibarbie;Mujer madura que mantiene una apariencia muy juvenil, arreglada y estilizada, similar a la de una muñeca.;Mujer mayor que pretende lucir más joven y atractiva.;1;;
salsa;Expresión utilizada para bajar el volumen o la intensidad de algo.;Tipo de música salsa, cuyo tema principal es el romance y el erotismo. | Tipo de música salsa, que mezcla ritmos del pacífico, del rap, del %idance hall%i y de música electrónica. | Mezcla elaborada con mayonesa y salsa de tomate.;0;;
limpiabrisas;Persona que busca trabajo o empleo de manera insistente.;Dispositivo externo que barre del parabrisas de un vehículo, la lluvia o el sucio, con movimientos de lado a lado.;0;;
valla;Estructura o cerca colocada para delimitar, proteger o señalizar un terreno o espacio.;En algunos deportes como fútbol, portería.;0;;
carcamán;En Colombia, armatoste grande e inútil.[7];Referido a una persona, grande. | Referido a una persona, vieja e irritable.;0;;
rejo;Cuerda o tira de cuero utilizada en ganadería para amarrar reses.;Látigo fuerte hecho de varias tiras de cuero usado para arrear los animales o para golpear.;1;;
